URL	LINE	DELETE OR NOT	
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/ultramag/funkyour/chorus_2.mag.txt	yo i'm on the chorus line		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/ultramag/funkyour/chorus_2.mag.txt	i'm cold illin on the new chorus line		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/ultramag/funkyour/chorus_2.mag.txt	fuckin up shit on the chorus line		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/ultramag/horsemen/scared.mag.txt	let the bassline kick yo' ass with the chorus line		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/ultramag/bside/2000_rmx.mag.txt	we might as well start the chorus line y'all with that		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/ultramag/bside/2000_rmx.mag.txt	i'm on the chorus line		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/ultramag/bside/2000_rmx.mag.txt	never mess up from a chorus line		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/ultramag/bside/2000_rmx.mag.txt	type of hype i like to recite on my chorus line		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/ultramag/bside/2000_rmx.mag.txt	i like it well done on the chorus line		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/ultramag/new_york/tim_dog.mag.txt	chorus line leader #1		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/ultramag/new_york/tim_dog.mag.txt	i'm the chorus line leader #1		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/misc/r_and_b/wantback.jc5.txt	jackson 5 chorus in background while		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/misc/r_and_b/wantback.jc5.txt	jackson 5 chorus until fade		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/juicy_j/juiceman/gimme_hd.jcj.txt	chorus  gimme head till i'm dead gimme head gimme head		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/2_live/shake/savage.2lc.txt	chorus   mr mixx and brother marquis		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/2_live/shake/stole_my.2lc.txt	chorus  brother marquis and mr mixx		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/2_pac/stillrse/as_world.2pc.txt	chorus darryl 'big d' harper 		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/2_pac/stillrse/as_world.2pc.txt	chorus darryl 'big d' harper 		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/2_pac/stillrse/as_world.2pc.txt	chorus darryl 'big d' harper 		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/2_pac/thugvol1/bury_me.2pc.txt	 walker sings and harmonizes over the chorus		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/2_pac/matworld/dearmama.2pc.txt	chorus reggie green & sweet franklin w/ 2pac 		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/2_pac/matworld/dearmama.2pc.txt	 second and third chorus and dear mama instead of dear mama		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/2_pac/untilthe/end_time.2pc.txt	 - chorus sung by rl on  richard page on 		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/2_pac/eyezonme/godjudge.2pc.txt	chorus w/out 2pac continues to fade		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/2_pac/ru_still/style.2pc.txt	chorus 'til end with ad libs		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/2_pac/stillrse/tattoo.2pc.txt	chorus 2pac + young noble		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/2_pac/2pclypse/violent.2pc.txt	chorus 1st occurance as written		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/2_pac/2pclypse/violent.2pc.txt	6th occurance emphasis on second line whole chorus		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/2_pac/ru_still/whenfree.2pc.txt	chorus when i get free 		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/69_boyz/199quad/kitty.69b.txt	bridge c bridge b chorus		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/tcquest/beats/return.tcq.txt	but yo tip bring in the chorus cuz i'm losin my breath		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/az_the_v/9_lives/how_many.azv.txt	i'm like the same song never change chorus		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/az_the_v/doeordie/sugrhill.azv.txt	chorus i wanna chill    on sugar hill 		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/ahmad/ahmad/backjeep.ahm.txt	chorus repeat 5x until fades		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/akinyele/aktapuss/akdahoe.aka.txt	now bring the chorus in		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/banksant/bigthang/thangs.ant.txt	chorus same as verse two 		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/artifact/between/flexi.art.txt	chorus samples of jeru the damaja and bizmarkie		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/artifact/between/heavy.art.txt	chorus {vocal samples)		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/atmos/winter11/dontstop.atm.txt	roll up the windows and sing a chorus		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/bhmadia/kollage/iconfess.bhm.txt	chorus i've been really tryin' baby		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/beanie/solution/boutthat.sig.txt	'til the four doors out cool & dre bring the chorus out		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/beanie/thetruth/beastar.sig.txt	chorus nafeisa and beanie mac		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/beanie/thetruth/playa.sig.txt	chorus if you a playa  get it now like a playa		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/beanie/statepro/trouble.sig.txt	and the roc-a-fella niggas i'm focused bring the chorus in		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/bigdaddy/bigdaddy/stoppin.bdk.txt	so one more time kick the chorus		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/bigdaddy/dad_home/inthepjs.bdk.txt	chorus kane + yeah yeah -> chanted in back throughout		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/bigdaddy/princeof/thelover.bdk.txt	while i bring the chorus back for ya one more time		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/big_l/picture/triboro.bgl.txt	chorus remi martin and oc 		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/big_moe/unfinish/grindin.moe.txt	i wreck on everybody's chorus		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/big_pun/capital/came_up.pun.txt	chorus big punisher and noreaga    		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/big_pun/capital/notaplay.pun.txt	chorus big punisher and the o'jays		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/big_pun/capital/notaplay.pun.txt	chorus big punisher and the o'jays		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/big_pun/y_baby/so_hard.pun.txt	chorus 1 + 2 overlap		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/big_pun/capital/super_ly.pun.txt	chorus -- lyrically i'm supposed to represent 		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/big_pun/capital/super_ly.pun.txt	chorus -- lyrically i'm supposed to represent		
http://lyrics.chicagobooth.edu/FinalData.OctNewKeepAndAnonymous/big_pun/capital/super_ly.pun.txt	chorus -- lyrically i'm supposed to represent		
