Token|TF|DF|IDF
sticman|27|11|8.13622555491
wooda|3|2|9.84123973906
splatered|1|1|10.5343869196
cmissile|1|1|10.5343869196
tsÈÈ|2|1|10.5343869196
ademleruciedu|3|3|9.43572141823
markissweatin|1|1|10.5343869196
theoreticaly|1|1|10.5343869196
boncey|1|1|10.5343869196
cutety|1|1|10.5343869196
brownpride|1|1|10.5343869196
bonced|1|1|10.5343869196
woods|401|338|4.70953020131
clotted|1|1|10.5343869196
spiders|32|32|7.06817200039
nohopers|1|1|10.5343869196
gaf|2|2|9.84123973906
ultimatley|2|2|9.84123973906
woody|81|72|6.25766758788
whooget|1|1|10.5343869196
sexualityayay|1|1|10.5343869196
comically|1|1|10.5343869196
kanive|4|2|9.84123973906
godaam|1|1|10.5343869196
willbustacaper|1|1|10.5343869196
canes|20|20|7.53849499941
sprague|1|1|10.5343869196
scutter|2|2|9.84123973906
habotchi|1|1|10.5343869196
wambammed|1|1|10.5343869196
igual|16|16|7.76174498466
reclean|1|1|10.5343869196
relooooaad|1|1|10.5343869196
caned|2|2|9.84123973906
expoor|1|1|10.5343869196
nooky|1|1|10.5343869196
2cause|2|2|9.84123973906
mivin|1|1|10.5343869196
brrrrrrrrrrrrrrrrrr|1|1|10.5343869196
spragus|1|1|10.5343869196
caneo|1|1|10.5343869196
roadrunners|4|4|9.14803934578
light‚Äù|1|1|10.5343869196
halfview|1|1|10.5343869196
slothful|1|1|10.5343869196
motherfuccas|2|1|10.5343869196
grenadiers|1|1|10.5343869196
raouf|1|1|10.5343869196
pigment|15|15|7.82604401352
southernplayalisticadillacfunkymuzik|1|1|10.5343869196
badunki|1|1|10.5343869196
milkmanll|1|1|10.5343869196
fullblooded|5|5|8.92492240118
bringina|1|1|10.5343869196
bringing|718|632|4.07753744391
tcby|1|1|10.5343869196
wooded|6|6|8.74257423767
grueling|1|1|10.5343869196
baddily|1|1|10.5343869196
swingthrough|1|1|10.5343869196
wooden|137|130|5.66642668811
iluminati|2|1|10.5343869196
ducartis|1|1|10.5343869196
selfexplainable|1|1|10.5343869196
wednesday|127|104|5.88887795833
virtuosos|6|5|8.92492240118
chameleons|13|13|7.96935774202
wooder|1|1|10.5343869196
weely|1|1|10.5343869196
thorught|1|1|10.5343869196
ninetwo|5|3|9.43572141823
houpes|5|5|8.92492240118
crrok|1|1|10.5343869196
thatclap|1|1|10.5343869196
fillybusters|1|1|10.5343869196
weels|2|2|9.84123973906
bbqs|3|3|9.43572141823
fuera|40|28|7.20191631753
rcheck|4|1|10.5343869196
ripieces|1|1|10.5343869196
pizzle|18|14|7.89506349809
gaskets|3|3|9.43572141823
snuggles|2|2|9.84123973906
calendarperpetrator|1|1|10.5343869196
fuern|1|1|10.5343869196
270|1|1|10.5343869196
reddotted|1|1|10.5343869196
boyhey|2|1|10.5343869196
fleuredoscad|1|1|10.5343869196
consenting|1|1|10.5343869196
279|2|2|9.84123973906
snuggled|7|7|8.58839695042
phillipino|5|5|8.92492240118
flawdapimpgmailcom|5|5|8.92492240118
kid3|7|6|8.74257423767
threefifty|6|6|8.74257423767
screaminí|1|1|10.5343869196
derrotado|3|3|9.43572141823
papaul|1|1|10.5343869196
opportunists|1|1|10.5343869196
sigels|3|3|9.43572141823
dialoge|1|1|10.5343869196
hoodmufucka|1|1|10.5343869196
outfielders|2|2|9.84123973906
cockeye|1|1|10.5343869196
numeral|9|9|8.33710912956
arkane8yahoocom|1|1|10.5343869196
constituency|1|1|10.5343869196
consular|1|1|10.5343869196
27b|1|1|10.5343869196
27c|1|1|10.5343869196
spizike|1|1|10.5343869196
lench|105|55|6.52649485957
dayumn|1|1|10.5343869196
sunbeams|3|3|9.43572141823
callicoe|1|1|10.5343869196
affiliates|32|30|7.13249755166
murdaraz|2|1|10.5343869196
27s|1|1|10.5343869196
kurupt|1030|260|4.96981329958
imitaders|2|2|9.84123973906
affiliated|183|156|5.48063892334
motorolla|6|6|8.74257423767
uniroyal|1|1|10.5343869196
payeyayd|1|1|10.5343869196
sexuh|1|1|10.5343869196
extingwishers|1|1|10.5343869196
kids|6914|5054|1.94591014906
uplifting|14|14|7.89506349809
landrovers|1|1|10.5343869196
kidz|36|29|7.16703787691
deferring|1|1|10.5343869196
visualizaciÛn|1|1|10.5343869196
controversy|107|103|5.89715386764
kidd|27|22|7.44307837435
rererererecognise|1|1|10.5343869196
emptin|1|1|10.5343869196
neurologist|4|4|9.14803934578
fivedoubleo|1|1|10.5343869196
milik|1|1|10.5343869196
kidn|1|1|10.5343869196
deferrins|1|1|10.5343869196
topography|1|1|10.5343869196
vomitspit|2|1|10.5343869196
shindighey|1|1|10.5343869196
defrostin|1|1|10.5343869196
modifiÈs|1|1|10.5343869196
rifting|1|1|10.5343869196
unsinkable|1|1|10.5343869196
inlisted|1|1|10.5343869196
stuuhuhuhhhd|1|1|10.5343869196
bangouts|4|4|9.14803934578
worlock|1|1|10.5343869196
luchie|2|2|9.84123973906
dnd|4|4|9.14803934578
agassi|4|4|9.14803934578
dna|111|102|5.90808293817
dnb|2|1|10.5343869196
psssssssh|1|1|10.5343869196
dnn|1|1|10.5343869196
dnh|2|2|9.84123973906
checkinmy|1|1|10.5343869196
dnt|5|2|9.84123973906
ghostfacekillahh|1|1|10.5343869196
blassy|2|2|9.84123973906
aarsdamaolcom|30|30|7.13249755166
flowheekin|1|1|10.5343869196
dnr|1|1|10.5343869196
dundealahotmailcom|1|1|10.5343869196
bombonyall|1|1|10.5343869196
ungradeable|1|1|10.5343869196
spaying|2|2|9.84123973906
sixeighths|1|1|10.5343869196
populations|20|20|7.53849499941
harrasin|5|2|9.84123973906
mesmerize|16|16|7.76174498466
yahoo|25|13|7.96935774202
meteorologist|2|2|9.84123973906
olhigh|1|1|10.5343869196
originalitayayay|1|1|10.5343869196
samsonites|1|1|10.5343869196
rhetts|1|1|10.5343869196
dj234vr98yahoocom|2|2|9.84123973906
bummy|130|127|5.68697535634
understooooooood|1|1|10.5343869196
listenin|711|635|4.07753744391
trustbustbe|1|1|10.5343869196
enflamed|3|3|9.43572141823
gegegeorgetown|1|1|10.5343869196
curseed|1|1|10.5343869196
canel|1|1|10.5343869196
jumbling|1|1|10.5343869196
imhotep|16|12|8.04942705711
my20|1|1|10.5343869196
exsssss|1|1|10.5343869196
wslight|1|1|10.5343869196
dn3|2|1|10.5343869196
listenit|1|1|10.5343869196
hoffuhhotmailcom|1|1|10.5343869196
messiahsre|1|1|10.5343869196
cockies|1|1|10.5343869196
pints|50|48|6.66313269599
nentend|1|1|10.5343869196
cmurder|738|279|4.89783979995
porschea|1|1|10.5343869196
titanium|61|60|6.4393503711
sterben|1|1|10.5343869196
pinta|10|7|8.58839695042
sunrays|35|34|7.00760061395
azurite|1|1|10.5343869196
glaydis|1|1|10.5343869196
pinto|63|62|6.40687998607
fettiest|1|1|10.5343869196
tchaikovsky|2|2|9.84123973906
getchoo|2|2|9.84123973906
tracies|1|1|10.5343869196
gÈrald|1|1|10.5343869196
threeonefour|1|1|10.5343869196
cheesing|3|3|9.43572141823
lindsey|6|5|8.92492240118
exelent|1|1|10.5343869196
blegitcom|1|1|10.5343869196
dannon|3|3|9.43572141823
prostitues|3|3|9.43572141823
hieve|1|1|10.5343869196
shirker|1|1|10.5343869196
selfesteem|98|94|5.98896141689
barbra|3|3|9.43572141823
goober|2|1|10.5343869196
piecehit|1|1|10.5343869196
assimilated|2|2|9.84123973906
connectando|1|1|10.5343869196
flossin|586|524|4.26267987704
dinosaurs|32|31|7.10002716663
wrong|7380|5441|1.79175946923
leemale|1|1|10.5343869196
intrduced|1|1|10.5343869196
desirin|5|5|8.92492240118
sentencing|10|10|8.23164217997
gooben|1|1|10.5343869196
balads|1|1|10.5343869196
promotion|81|76|6.20253551719
nanall|1|1|10.5343869196
alakun|1|1|10.5343869196
barwork|9|1|10.5343869196
pirubaolcom|2|2|9.84123973906
soundtrackrated|1|1|10.5343869196
trerkin|1|1|10.5343869196
etchasketched|1|1|10.5343869196
4tracks|1|1|10.5343869196
technologics|1|1|10.5343869196
infesticons|7|1|10.5343869196
kiloton|1|1|10.5343869196
backmight|1|1|10.5343869196
onyeah|7|5|8.92492240118
chandon|6|6|8.74257423767
marqueta|1|1|10.5343869196
miragin|4|2|9.84123973906
sprawling|1|1|10.5343869196
snugly|1|1|10.5343869196
welcomed|20|20|7.53849499941
concurrence|1|1|10.5343869196
3okay|1|1|10.5343869196
sissyyyyyyyyah|2|2|9.84123973906
vocoloco|1|1|10.5343869196
foreal|44|34|7.00760061395
justfade|1|1|10.5343869196
claflin|4|3|9.43572141823
duece|158|111|5.82304589548
activating|4|4|9.14803934578
friddont|1|1|10.5343869196
welcomes|5|5|8.92492240118
fir|4|4|9.14803934578
diggadywho|1|1|10.5343869196
submachines|9|9|8.33710912956
fiv|1|1|10.5343869196
fiw|1|1|10.5343869196
fit|1803|1635|3.09104245336
lifeline|57|53|6.56385552653
screaming|962|800|3.82864139649
gridiron|6|6|8.74257423767
chiffonne|1|1|10.5343869196
fib|12|12|8.04942705711
fic|1|1|10.5343869196
dcette|1|1|10.5343869196
fif|12|10|8.23164217997
fig|53|41|6.82001636467
fid|1|1|10.5343869196
fie|40|19|7.58984151218
keyore15aolcom|1|1|10.5343869196
fuddruckers|1|1|10.5343869196
introconversation|1|1|10.5343869196
looks|1306|1083|3.52636052462
fin|773|568|4.18965474203
fil|9|8|8.45489216522
fim|3|2|9.84123973906
weell|3|2|9.84123973906
assembely|1|1|10.5343869196
freebasing|3|3|9.43572141823
foolio|5|5|8.92492240118
foolin|189|144|5.56452040732
skeebop|1|1|10.5343869196
copestetic|2|2|9.84123973906
foolie|1|1|10.5343869196
vouchers|3|3|9.43572141823
shivas|1|1|10.5343869196
pologize|5|4|9.14803934578
helpup|1|1|10.5343869196
interwined|3|2|9.84123973906
aluminumfoil|1|1|10.5343869196
sova|1|1|10.5343869196
blastmast|1|1|10.5343869196
miggedymess|1|1|10.5343869196
fannies|7|7|8.58839695042
castigating|1|1|10.5343869196
vilow|1|1|10.5343869196
cheeder|1|1|10.5343869196
barton|2|2|9.84123973906
woodwheel|5|5|8.92492240118
lucero|1|1|10.5343869196
touchdooown|1|1|10.5343869196
ooohhweeee|1|1|10.5343869196
joyners|1|1|10.5343869196
emmezaharrrahk|1|1|10.5343869196
thetrav|1|1|10.5343869196
classb|1|1|10.5343869196
bosswith|1|1|10.5343869196
